model_id,task,model_type,status,elapsed_s,failure_class,accuracy_verdict,delta_relative
sentence-transformers/all-mpnet-base-v2,fill-mask,mpnet,PASS,27.5,,N/A,
FacebookAI/xlm-roberta-base,fill-mask,xlm-roberta,PASS,29.9,,N/A,
FacebookAI/roberta-large,fill-mask,roberta,PASS,31.0,,N/A,
FacebookAI/roberta-base,fill-mask,roberta,PASS,25.6,,N/A,
distilbert/distilbert-base-uncased,fill-mask,distilbert,PASS,20.9,,N/A,
FacebookAI/xlm-roberta-large,fill-mask,xlm-roberta,PASS,31.3,,N/A,
sentence-transformers/multi-qa-mpnet-base-dot-v1,fill-mask,mpnet,PASS,25.5,,N/A,
google-bert/bert-base-multilingual-uncased,fill-mask,bert,PASS,26.9,,N/A,
google-bert/bert-base-multilingual-cased,fill-mask,bert,PASS,28.4,,N/A,
Qwen/Qwen2.5-7B-Instruct,text-generation,qwen2,FAIL,1259.1,EXPORT_FAIL,N/A,
Qwen/Qwen3-0.6B,text-generation,qwen3,FAIL,347.7,EXPORT_FAIL,N/A,
openai-community/gpt2,text-generation,gpt2,FAIL,84.0,EXPORT_FAIL,N/A,
Qwen/Qwen2.5-1.5B-Instruct,text-generation,qwen2,FAIL,890.6,EXPORT_FAIL,N/A,
Qwen/Qwen2.5-0.5B-Instruct,text-generation,qwen2,FAIL,644.5,EXPORT_FAIL,N/A,
openai/gpt-oss-20b,text-generation,gpt_oss,FAIL,166.6,UNKNOWN,N/A,
Qwen/Qwen2.5-3B-Instruct,text-generation,qwen2,FAIL,1273.4,EXPORT_FAIL,N/A,
trl-internal-testing/tiny-Qwen2ForCausalLM-2.5,text-generation,qwen2,FAIL,117.0,EXPORT_FAIL,N/A,
Qwen/Qwen3-1.7B,text-generation,qwen3,FAIL,1121.7,EXPORT_FAIL,N/A,
Qwen/Qwen3-8B,text-generation,qwen3,FAIL,0,TIMEOUT,N/A,
sentence-transformers/all-MiniLM-L6-v2,feature-extraction,bert,PASS,20.8,,N/A,
sentence-transformers/all-mpnet-base-v2,feature-extraction,mpnet,PASS,21.8,,N/A,
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,feature-extraction,bert,PASS,21.8,,N/A,
BAAI/bge-m3,feature-extraction,xlm-roberta,PASS,30.6,,N/A,
Xenova/paraphrase-multilingual-MiniLM-L12-v2,feature-extraction,bert,FAIL,9.6,UNKNOWN,N/A,
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,feature-extraction,xlm-roberta,PASS,28.4,,N/A,
BAAI/bge-small-en-v1.5,feature-extraction,bert,PASS,20.6,,N/A,
BAAI/bge-large-en-v1.5,feature-extraction,bert,PASS,28.1,,N/A,
BAAI/bge-base-en-v1.5,feature-extraction,bert,PASS,21.5,,N/A,
sentence-transformers/multi-qa-mpnet-base-dot-v1,feature-extraction,mpnet,PASS,24.6,,N/A,
facebook/bart-large-cnn,summarization,bart,FAIL,54.6,EXPORT_FAIL,N/A,
google-t5/t5-base,summarization,t5,FAIL,0,TIMEOUT,N/A,
google-t5/t5-small,summarization,t5,FAIL,16.7,EXPORT_FAIL,N/A,
sshleifer/distilbart-cnn-12-6,summarization,bart,FAIL,53.9,EXPORT_FAIL,N/A,
google-t5/t5-3b,summarization,t5,FAIL,195.5,EXPORT_FAIL,N/A,
google-t5/t5-large,summarization,t5,FAIL,96.3,EXPORT_FAIL,N/A,
google/pegasus-xsum,summarization,pegasus,FAIL,70.7,EXPORT_FAIL,N/A,
philschmid/bart-large-cnn-samsum,summarization,bart,FAIL,0,TIMEOUT,N/A,
moussaKam/mbarthez,summarization,mbart,FAIL,0,TIMEOUT,N/A,
knkarthick/MEETING_SUMMARY,summarization,bart,FAIL,0,TIMEOUT,N/A,
google-t5/t5-base,translation,t5,FAIL,22.6,EXPORT_FAIL,N/A,
google-t5/t5-small,translation,t5,FAIL,0,TIMEOUT,N/A,
Helsinki-NLP/opus-mt-nl-en,translation,marian,FAIL,25.6,EXPORT_FAIL,N/A,
Helsinki-NLP/opus-mt-en-ru,translation,marian,FAIL,0,TIMEOUT,N/A,
facebook/nllb-200-distilled-600M,translation,m2m_100,FAIL,0,TIMEOUT,N/A,
google-t5/t5-3b,translation,t5,FAIL,0,TIMEOUT,N/A,
Helsinki-NLP/opus-mt-fr-en,translation,marian,FAIL,0,TIMEOUT,N/A,
Helsinki-NLP/opus-mt-tr-en,translation,marian,FAIL,30.0,EXPORT_FAIL,N/A,
Helsinki-NLP/opus-mt-es-en,translation,marian,FAIL,31.3,EXPORT_FAIL,N/A,
google/madlad400-3b-mt,translation,t5,FAIL,167.5,EXPORT_FAIL,N/A,
facebook/bart-large-mnli,zero-shot-classification,bart,FAIL,0,TIMEOUT,N/A,
lxyuan/distilbert-base-multilingual-cased-sentiments-student,zero-shot-classification,distilbert,PASS,19.0,,N/A,
MoritzLaurer/deberta-v3-large-zeroshot-v2.0,zero-shot-classification,deberta-v2,PASS,31.9,,N/A,
MoritzLaurer/DeBERTa-v3-large-mnli-fever-anli-ling-wanli,zero-shot-classification,deberta-v2,PASS,32.6,,N/A,
valhalla/distilbart-mnli-12-3,zero-shot-classification,bart,FAIL,130.1,EXPORT_FAIL,N/A,
MoritzLaurer/mDeBERTa-v3-base-mnli-xnli,zero-shot-classification,deberta-v2,PASS,24.0,,N/A,
joeddav/xlm-roberta-large-xnli,zero-shot-classification,xlm-roberta,PASS,26.5,,N/A,
joeddav/bart-large-mnli-yahoo-answers,zero-shot-classification,bart,FAIL,41.9,EXPORT_FAIL,N/A,
MoritzLaurer/mDeBERTa-v3-base-xnli-multilingual-nli-2mil7,zero-shot-classification,deberta-v2,PASS,25.7,,N/A,
cross-encoder/nli-deberta-v3-small,zero-shot-classification,deberta-v2,PASS,21.1,,N/A,
sentence-transformers/all-MiniLM-L6-v2,sentence-similarity,bert,PASS,13.2,,N/A,
sentence-transformers/all-mpnet-base-v2,sentence-similarity,mpnet,PASS,18.4,,N/A,
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,sentence-similarity,bert,PASS,18.2,,N/A,
BAAI/bge-m3,sentence-similarity,xlm-roberta,PASS,28.6,,N/A,
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,sentence-similarity,xlm-roberta,PASS,24.7,,N/A,
BAAI/bge-small-en-v1.5,sentence-similarity,bert,PASS,18.0,,N/A,
BAAI/bge-large-en-v1.5,sentence-similarity,bert,PASS,27.2,,N/A,
BAAI/bge-base-en-v1.5,sentence-similarity,bert,PASS,16.8,,N/A,
sentence-transformers/multi-qa-mpnet-base-dot-v1,sentence-similarity,mpnet,PASS,18.5,,N/A,
intfloat/multilingual-e5-large,sentence-similarity,xlm-roberta,PASS,29.2,,N/A,
Falconsai/nsfw_image_detection,image-classification,vit,PASS,22.3,,N/A,
dima806/fairface_age_image_detection,image-classification,vit,PASS,23.4,,N/A,
google/vit-base-patch16-224,image-classification,vit,PASS,24.1,,N/A,
apple/mobilevit-small,image-classification,mobilevit,PASS,17.6,,N/A,
rizvandwiki/gender-classification,image-classification,vit,PASS,22.5,,N/A,
microsoft/beit-base-patch16-224-pt22k-ft22k,image-classification,beit,PASS,24.8,,N/A,
amunchet/rorshark-vit-base,image-classification,vit,PASS,24.1,,N/A,
microsoft/swin-large-patch4-window7-224,image-classification,swin,PASS,22.4,,N/A,
buildborderless/CommunityForensics-DeepfakeDet-ViT,image-classification,vit,FAIL,49.1,EXPORT_FAIL,N/A,
AdamCodd/vit-base-nsfw-detector,image-classification,vit,PASS,21.2,,N/A,
microsoft/table-transformer-detection,object-detection,table-transformer,PASS,18.7,,N/A,
microsoft/table-transformer-structure-recognition,object-detection,table-transformer,PASS,18.9,,N/A,
PekingU/rtdetr_r101vd_coco_o365,object-detection,rt_detr,PASS,59.5,,N/A,
hustvl/yolos-small,object-detection,yolos,PASS,23.6,,N/A,
facebook/detr-resnet-50,object-detection,detr,PASS,24.7,,N/A,
valentinafeve/yolos-fashionpedia,object-detection,yolos,PASS,25.6,,N/A,
microsoft/table-transformer-structure-recognition-v1.1-all,object-detection,table-transformer,PASS,16.4,,N/A,
TahaDouaji/detr-doc-table-detection,object-detection,detr,PASS,18.0,,N/A,
PekingU/rtdetr_v2_r18vd,object-detection,rt_detr_v2,PASS,29.4,,N/A,
PekingU/rtdetr_r50vd_coco_o365,object-detection,rt_detr,PASS,46.8,,N/A,
jonathandinu/face-parsing,image-segmentation,segformer,PASS,26.3,,N/A,
nvidia/segformer-b0-finetuned-ade-512-512,image-segmentation,segformer,PASS,18.7,,N/A,
Xenova/segformer-b0-finetuned-ade-512-512,image-segmentation,segformer,FAIL,9.3,UNKNOWN,N/A,
mattmdjaga/segformer_b2_clothes,image-segmentation,segformer,PASS,18.1,,N/A,
fashn-ai/fashn-human-parser,image-segmentation,segformer,PASS,21.3,,N/A,
nvidia/segformer-b5-finetuned-ade-640-640,image-segmentation,segformer,PASS,30.2,,N/A,
nvidia/segformer-b1-finetuned-ade-512-512,image-segmentation,segformer,PASS,16.9,,N/A,
nvidia/segformer-b5-finetuned-cityscapes-1024-1024,image-segmentation,segformer,PASS,34.1,,N/A,
nvidia/segformer-b2-finetuned-ade-512-512,image-segmentation,segformer,PASS,17.6,,N/A,
nvidia/segformer-b0-finetuned-cityscapes-1024-1024,image-segmentation,segformer,PASS,17.1,,N/A,
facebook/dinov2-small,image-feature-extraction,dinov2,PASS,18.5,,N/A,
facebook/dinov2-base,image-feature-extraction,dinov2,PASS,24.2,,N/A,
google/vit-base-patch16-224-in21k,image-feature-extraction,vit,PASS,23.0,,N/A,
facebook/dinov2-large,image-feature-extraction,dinov2,PASS,25.7,,N/A,
facebook/dino-vitb16,image-feature-extraction,vit,PASS,24.6,,N/A,
facebook/dinov2-giant,image-feature-extraction,dinov2,FAIL,674.8,EXPORT_FAIL,N/A,
facebook/dino-vits16,image-feature-extraction,vit,PASS,17.5,,N/A,
StanfordAIMI/dinov2-base-xray-224,image-feature-extraction,dinov2,PASS,22.8,,N/A,
hi-wesley/gemma3-vision-encoder,image-feature-extraction,siglip_vision_model,FAIL,90.7,EXPORT_FAIL,N/A,
microsoft/rad-dino,image-feature-extraction,dinov2,PASS,25.1,,N/A,
openai/clip-vit-base-patch32,zero-shot-image-classification,clip,PASS,23.3,,N/A,
openai/clip-vit-large-patch14,zero-shot-image-classification,clip,PASS,26.9,,N/A,
openai/clip-vit-large-patch14-336,zero-shot-image-classification,clip,PASS,27.0,,N/A,
openai/clip-vit-base-patch16,zero-shot-image-classification,clip,PASS,22.8,,N/A,
laion/CLIP-ViT-B-32-laion2B-s34B-b79K,zero-shot-image-classification,clip,PASS,20.9,,N/A,
patrickjohncyh/fashion-clip,zero-shot-image-classification,clip,PASS,18.3,,N/A,
google/siglip-so400m-patch14-384,zero-shot-image-classification,siglip,PASS,28.3,,N/A,
google/siglip-base-patch16-224,zero-shot-image-classification,siglip,PASS,21.9,,N/A,
Marqo/marqo-fashionSigLIP,zero-shot-image-classification,siglip,PASS,19.2,,N/A,
laion/CLIP-ViT-H-14-laion2B-s32B-b79K,zero-shot-image-classification,clip,PASS,28.3,,N/A,
Intel/dpt-hybrid-midas,depth-estimation,dpt,PASS,19.7,,N/A,
Intel/dpt-large,depth-estimation,dpt,FAIL,272.2,EXPORT_FAIL,N/A,
Intel/zoedepth-nyu-kitti,depth-estimation,zoedepth,FAIL,443.7,EXPORT_FAIL,N/A,
depth-anything/Depth-Anything-V2-Small-hf,depth-estimation,depth_anything,FAIL,112.0,EXPORT_FAIL,N/A,
LiheYoung/depth-anything-large-hf,depth-estimation,depth_anything,FAIL,297.1,EXPORT_FAIL,N/A,
depth-anything/Depth-Anything-V2-Base-hf,depth-estimation,depth_anything,FAIL,178.7,EXPORT_FAIL,N/A,
depth-anything/Depth-Anything-V2-Large-hf,depth-estimation,depth_anything,FAIL,297.5,EXPORT_FAIL,N/A,
LiheYoung/depth-anything-small-hf,depth-estimation,depth_anything,FAIL,111.6,EXPORT_FAIL,N/A,
LiheYoung/depth-anything-base-hf,depth-estimation,depth_anything,FAIL,0,TIMEOUT,N/A,
apple/DepthPro-hf,depth-estimation,depth_pro,FAIL,59.9,EXPORT_FAIL,N/A,
microsoft/trocr-large-printed,image-to-text,vision-encoder-decoder,PASS,27.9,,N/A,
naver-clova-ix/donut-base,image-to-text,vision-encoder-decoder,FAIL,879.5,EXPORT_FAIL,N/A,
microsoft/trocr-base-printed,image-to-text,vision-encoder-decoder,PASS,25.2,,N/A,
nlpconnect/vit-gpt2-image-captioning,image-to-text,vision-encoder-decoder,PASS,58.8,,N/A,
microsoft/trocr-base-handwritten,image-to-text,vision-encoder-decoder,PASS,26.4,,N/A,
kha-white/manga-ocr-base,image-to-text,vision-encoder-decoder,PASS,21.8,,N/A,
microsoft/trocr-large-handwritten,image-to-text,vision-encoder-decoder,PASS,27.2,,N/A,
facebook/nougat-base,image-to-text,vision-encoder-decoder,FAIL,26.4,RUNTIME_FAIL,N/A,
breezedeus/pix2text-mfr,image-to-text,vision-encoder-decoder,FAIL,9.9,UNKNOWN,N/A,
alibaba-damo/mgp-str-base,image-to-text,mgp-str,FAIL,6.6,UNKNOWN,N/A,
google/deplot,visual-question-answering,pix2struct,FAIL,6.1,UNKNOWN,N/A,
google/pix2struct-docvqa-base,visual-question-answering,pix2struct,FAIL,6.1,UNKNOWN,N/A,
internlm/internlm-xcomposer2d5-7b,visual-question-answering,internlm2,FAIL,6.1,UNKNOWN,N/A,
google/pix2struct-ai2d-base,visual-question-answering,pix2struct,FAIL,6.1,UNKNOWN,N/A,
Salesforce/blip-vqa-base,visual-question-answering,blip,FAIL,6.0,UNKNOWN,N/A,
Salesforce/blip2-opt-2.7b,visual-question-answering,blip-2,FAIL,177.3,EXPORT_FAIL,N/A,
microsoft/Phi-4-multimodal-instruct,visual-question-answering,phi4mm,FAIL,7.7,UNKNOWN,N/A,
Salesforce/blip2-opt-2.7b-coco,visual-question-answering,blip-2,FAIL,186.4,EXPORT_FAIL,N/A,
Salesforce/blip2-flan-t5-xl,visual-question-answering,blip-2,FAIL,184.6,EXPORT_FAIL,N/A,
dandelin/vilt-b32-finetuned-vqa,visual-question-answering,vilt,FAIL,44.1,EXPORT_FAIL,N/A,
naver-clova-ix/donut-base-finetuned-docvqa,document-question-answering,vision-encoder-decoder,FAIL,6.8,UNKNOWN,N/A,
impira/layoutlm-document-qa,document-question-answering,layoutlm,FAIL,6.4,UNKNOWN,N/A,
impira/layoutlm-invoices,document-question-answering,layoutlm,FAIL,6.3,UNKNOWN,N/A,
fxmarty/tiny-doc-qa-vision-encoder-decoder,document-question-answering,vision-encoder-decoder,FAIL,6.6,UNKNOWN,N/A,
zpm/Llama-3.1-PersianQA,document-question-answering,llama,FAIL,6.3,UNKNOWN,N/A,
rubentito/layoutlmv3-base-mpdocvqa,document-question-answering,layoutlmv3,FAIL,6.8,UNKNOWN,N/A,
jinhybr/OCR-DocVQA-Donut,document-question-answering,vision-encoder-decoder,FAIL,6.9,UNKNOWN,N/A,
Xenova/donut-base-finetuned-docvqa,document-question-answering,vision-encoder-decoder,FAIL,6.3,UNKNOWN,N/A,
xhyi/layoutlmv3_docvqa_t11c5000,document-question-answering,layoutlmv3,FAIL,6.2,UNKNOWN,N/A,
pardeepSF/layoutlm-vqa,document-question-answering,bert,FAIL,6.9,UNKNOWN,N/A,
facebook/sam-vit-huge,mask-generation,sam,FAIL,205.5,EXPORT_FAIL,N/A,
facebook/sam-vit-base,mask-generation,sam,FAIL,164.5,EXPORT_FAIL,N/A,
facebook/sam-vit-large,mask-generation,sam,FAIL,213.3,EXPORT_FAIL,N/A,
Xenova/slimsam-77-uniform,mask-generation,sam,FAIL,10.1,UNKNOWN,N/A,
Zigeng/SlimSAM-uniform-77,mask-generation,sam,FAIL,154.7,EXPORT_FAIL,N/A,
flaviagiammarino/medsam-vit-base,mask-generation,sam,FAIL,163.2,EXPORT_FAIL,N/A,
wanglab/medsam-vit-base,mask-generation,sam,FAIL,166.2,EXPORT_FAIL,N/A,
facebook/sam2.1-hiera-large,mask-generation,sam2_video,FAIL,34.2,EXPORT_FAIL,N/A,
facebook/sam2.1-hiera-tiny,mask-generation,sam2_video,FAIL,13.4,EXPORT_FAIL,N/A,
facebook/sam2-hiera-large,mask-generation,sam2_video,FAIL,32.7,EXPORT_FAIL,N/A,
microsoft/resnet-50,image-classification,resnet,PASS,21.9,,N/A,
google-bert/bert-base-multilingual-cased,feature-extraction,bert,PASS,22.8,,N/A,
google-bert/bert-base-multilingual-cased,masked-lm,bert,PASS,25.7,,N/A,
Intel/bert-base-uncased-mrpc,feature-extraction,bert,PASS,18.0,,N/A,
Intel/bert-base-uncased-mrpc,text-classification,bert,PASS,17.6,,N/A,
openai/clip-vit-base-patch16,zero-shot-classification,clip,FAIL,6.3,UNKNOWN,N/A,
openai/clip-vit-base-patch16,feature-extraction,clip,PASS,16.5,,N/A,
openai/clip-vit-base-patch32,zero-shot-classification,clip,FAIL,6.4,UNKNOWN,N/A,
openai/clip-vit-base-patch32,feature-extraction,clip,PASS,17.0,,N/A,
laion/CLIP-ViT-B-32-laion2B-s34B-b79K,zero-shot-classification,clip,FAIL,6.5,UNKNOWN,N/A,
laion/CLIP-ViT-B-32-laion2B-s34B-b79K,feature-extraction,clip,PASS,17.3,,N/A,
facebook/convnext-tiny-224,image-classification,convnext,PASS,21.7,,N/A,
facebook/detr-resnet-50,feature-extraction,detr,PASS,20.0,,N/A,
facebook/sam2.1-hiera-small,mask-generation,sam2_video,FAIL,18.7,EXPORT_FAIL,N/A,
Salesforce/blip-image-captioning-base,image-to-text,blip,PASS,23.8,,N/A,
ai-forever/Real-ESRGAN,,unknown,FAIL,6.2,UNKNOWN,N/A,
